Gene,Group,Source,Analyzed,PD_Unused_Score,PD_Sequence_Coverage_Pct,PD_Peptides_95pct,Gene_Length_bp,GC_Content_Pct,Mean_eQTL_SNP_Count
ACTB,Candidate,Literature Curation,Yes,0.0,0.0,0,5345.0,51.0,1.0
DDX5,Candidate,Literature Curation,Yes,0.0,0.0,0,13107.0,42.1,1.0
EIF4H,Candidate,Literature Curation,Yes,0.0,0.0,0,12055.0,44.9,2.0
H2AFV,Candidate,Literature Curation,Yes,0.0,0.0,0,15137.0,43.7,2.0
HNRNPA3,Candidate,Literature Curation,No,0.0,0.0,0,10767.0,47.0,1.0
ILF2,Candidate,Literature Curation,Yes,0.0,0.0,0,21943.0,43.1,1.0
RPL13A,Candidate,Literature Curation,Yes,0.0,0.0,0,5863.0,49.3,1.0
RPL23A,Candidate,Literature Curation,Yes,0.0,0.0,0,5402.0,44.8,1.0
RPS13,Candidate,Literature Curation,Yes,0.0,0.0,0,5861.0,44.7,2.0
RPS18,Candidate,Literature Curation,Yes,0.0,0.0,0,5518.0,48.1,
RPS25,Candidate,Literature Curation,Yes,0.0,0.0,0,4685.0,46.3,
RPS3,Candidate,Literature Curation,Yes,0.0,0.0,0,7803.0,41.4,1.0
XRCC5,Candidate,Literature Curation,Yes,0.0,0.0,0,38857.0,39.3,2.5
XRCC6,Candidate,Literature Curation,Yes,0.0,0.0,0,26025.0,39.3,2.0
YWHAQ,Candidate,Literature Curation,Yes,0.0,0.0,0,28638.0,42.4,1.0
CKAP4,Candidate,RNA Pull-down,Yes,14.64,33.8899999856949,8,20585.0,47.8,1.5
EIF4A1,Candidate,RNA Pull-down,Yes,3.71,11.8199996650219,2,15881.0,41.5,1.0
GAPDH,Candidate,RNA Pull-down,Yes,6.18,33.4300011396408,4,4781.0,55.7,2.0
HSP90AB1,Candidate,RNA Pull-down,Yes,11.37,24.4499996304512,4,23614.0,45.0,2.5
HSP90B1,Candidate,RNA Pull-down,Yes,4.63,11.8299998342991,2,10644.0,49.8,1.5
HSPA8,Candidate,RNA Pull-down,Yes,9.7,16.0999998450279,5,7298.0,46.0,
RNH1,Candidate,RNA Pull-down,Yes,4.0,11.0600002110004,2,19790.0,44.3,3.5
RPL5,Candidate,RNA Pull-down,No,4.99,18.1799992918968,2,7409.0,46.9,1.0
RPL8,Candidate,RNA Pull-down,Yes,3.79,13.6199995875359,2,8270.0,45.6,1.0
RPLP0,Candidate,RNA Pull-down,Yes,2.13,16.7199999094009,1,5504.0,46.3,2.0
RPS14,Candidate,RNA Pull-down,Yes,2.32,9.27200019359589,1,5284.0,47.5,1.5
RPS16,Candidate,RNA Pull-down,Yes,1.52,28.0800014734268,1,3685.0,48.0,1.5
RPSA,Candidate,RNA Pull-down,Yes,4.01,12.8800004720688,2,5999.0,50.2,3.0
TUBB,Candidate,RNA Pull-down,Yes,6.5,13.289999961853,3,4560.0,50.5,1.0
VCP,Candidate,RNA Pull-down,Yes,4.1,7.32000023126602,2,15800.0,51.8,2.0
ANXA1,NonCandidate,RNA Pull-down,Yes,2.0,9.24900025129318,1,24045.0,44.1,2.0
ANXA5,NonCandidate,RNA Pull-down,Yes,3.6,9.375,3,40340.0,43.3,3.5
ATP5F1A,NonCandidate,RNA Pull-down,No,3.27,14.470000565052,2,24790.0,42.1,
ATP5F1B,NonCandidate,RNA Pull-down,No,6.71,24.7600004076958,3,17181.0,41.8,
C1QBP,NonCandidate,RNA Pull-down,Yes,6.04,21.9899997115135,3,7460.0,48.1,1.5
CAVIN1,NonCandidate,RNA Pull-down,No,6.32,24.6199995279312,3,25445.0,67.4,
CCT3,NonCandidate,RNA Pull-down,Yes,2.01,4.03699986636639,1,10190.0,42.1,1.5
DHX9,NonCandidate,RNA Pull-down,No,2.36,1.88999995589256,1,42685.0,40.5,1.0
EEF1A1P5,NonCandidate,RNA Pull-down,No,2.59,9.52399969100952,1,19412.0,46.4,
EEF2,NonCandidate,RNA Pull-down,Yes,4.22,4.662000015378,2,11949.0,50.3,2.0
EHD4,NonCandidate,RNA Pull-down,Yes,2.0,2.77299992740154,1,58518.0,45.8,3.0
ENO1,NonCandidate,RNA Pull-down,Yes,7.84,28.5699993371964,4,13669.0,48.9,
GNA13,NonCandidate,RNA Pull-down,Yes,2.0,5.30500002205372,1,12178.0,43.7,1.0
H2AJ,NonCandidate,RNA Pull-down,No,1.74,20.9299996495247,1,4441.0,51.0,
H2BC13,NonCandidate,RNA Pull-down,No,9.82,42.059999704361,5,5714.0,52.1,
H3-7,NonCandidate,RNA Pull-down,No,1.31,24.2599993944168,1,19412.0,46.4,
HMGA1,NonCandidate,RNA Pull-down,No,4.0,23.3600005507469,3,28395.0,42.1,
HNRNPK,NonCandidate,RNA Pull-down,No,4.41,11.2300001084805,2,10786.0,40.2,
HNRNPU,NonCandidate,RNA Pull-down,No,2.0,7.15200006961823,1,26403.0,43.8,
HSPB1,NonCandidate,RNA Pull-down,Yes,2.0,8.29299986362457,1,2867.0,62.7,2.0
HSPD1,NonCandidate,RNA Pull-down,No,4.16,10.1199999451637,2,6179.0,46.7,1.0
ILF3,NonCandidate,RNA Pull-down,Yes,6.53,16.6700005531311,4,39936.0,41.0,
MFAP1,NonCandidate,RNA Pull-down,Yes,2.04,15.0299996137619,1,16366.0,44.9,1.0
MSN,NonCandidate,RNA Pull-down,No,5.17,21.8400001525879,2,18584.0,46.1,
MYH9,NonCandidate,RNA Pull-down,Yes,14.19,12.8600001335144,6,66742.0,40.5,2.0
NCL,NonCandidate,RNA Pull-down,No,2.92,9.5770001411438,2,13021.0,52.0,3.0
PABPC1,NonCandidate,RNA Pull-down,Yes,4.77,9.90599989891052,3,10968.0,43.3,
PCBP2,NonCandidate,RNA Pull-down,No,2.03,8.49300026893616,1,20288.0,45.3,1.0
PDIA3,NonCandidate,RNA Pull-down,Yes,2.52,10.4999996721745,1,14255.0,44.9,1.5
PDIA6,NonCandidate,RNA Pull-down,No,2.25,6.81800022721291,1,13479.0,45.6,1.0
PNN,NonCandidate,RNA Pull-down,Yes,2.01,7.9499997198581696,1,50162.0,43.4,1.5
PUF60,NonCandidate,RNA Pull-down,Yes,6.65,15.3799995779991,2,63833.0,40.4,1.0
RPL10A,NonCandidate,RNA Pull-down,Yes,2.34,18.8899993896484,1,4434.0,47.2,3.5
RPL13,NonCandidate,RNA Pull-down,Yes,1.67,15.1700004935265,1,6912.0,48.2,1.5
RPL14,NonCandidate,RNA Pull-down,Yes,2.0,8.37199985980988,1,4486.0,50.1,1.5
RPL17,NonCandidate,RNA Pull-down,Yes,1.8,14.6699994802475,1,8348.0,47.0,1.0
RPL18,NonCandidate,RNA Pull-down,No,2.52,23.3999997377396,1,4672.0,46.4,
RPL27A,NonCandidate,RNA Pull-down,Yes,2.0,7.43200033903122,1,5214.0,45.1,2.0
RPL7,NonCandidate,RNA Pull-down,No,2.08,16.5299996733665,1,6981.0,46.3,1.0
RPL7A,NonCandidate,RNA Pull-down,No,1.84,18.0500000715256,1,9154.0,42.4,2.0
RPN1,NonCandidate,RNA Pull-down,Yes,2.23,3.95400002598763,1,11267.0,42.7,1.0
RPS10P5,NonCandidate,RNA Pull-down,No,1.86,8.52300003170967,1,19412.0,46.4,
RPS15,NonCandidate,RNA Pull-down,No,2.07,12.4099999666214,1,5916.0,45.8,
RPS3A,NonCandidate,RNA Pull-down,Yes,2.38,15.1500001549721,1,7181.0,42.1,1.0
RPS8,NonCandidate,RNA Pull-down,Yes,2.76,10.5800002813339,1,5067.0,47.2,1.0
RRBP1,NonCandidate,RNA Pull-down,Yes,2.0,5.17700016498566,1,79242.0,44.4,2.5
SEPTIN2,NonCandidate,RNA Pull-down,No,2.0,3.87800000607967,1,21905.0,38.0,
SERPINB9,NonCandidate,RNA Pull-down,No,2.0,2.65999995172024,1,4113.0,53.4,
SERPINH1,NonCandidate,RNA Pull-down,Yes,1.82,2.87100002169609,1,11993.0,63.3,2.0
TPM4,NonCandidate,RNA Pull-down,Yes,1.66,6.0479998588562,1,15815.0,42.6,1.0
TUBB4B,NonCandidate,RNA Pull-down,No,1.54,10.5599999427795,2,4968.0,50.0,
UBA52,NonCandidate,RNA Pull-down,Yes,2.0,10.1599998772144,1,2525.0,53.2,2.0
VAT1,NonCandidate,RNA Pull-down,Yes,1.43,6.87000006437302,1,49551.0,42.1,1.0
YBX1,NonCandidate,RNA Pull-down,No,8.28,55.5599987506866,4,19424.0,44.7,
ADCY5,T2DM_Control,GWAS Literature,No,0.0,0.0,0,547773.0,36.4,
APPL1,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,37425.0,42.6,1.0
ARAP1,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,122430.0,38.7,2.0
CAMK1D,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,48057.0,38.1,1.5
CDKAL1,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,688950.0,38.6,2.5
DGKB,T2DM_Control,GWAS Literature,No,0.0,0.0,0,261485.0,36.4,
DUSP8,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,61280.0,36.1,1.5
FOXA2,T2DM_Control,GWAS Literature,No,0.0,0.0,0,3988.0,66.5,
FTO,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,220169.0,38.2,1.5
GCK,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,35461.0,60.9,3.0
GCKR,T2DM_Control,GWAS Literature,No,0.0,0.0,0,27360.0,49.1,1.0
GRB14,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,106288.0,42.2,1.0
HHEX,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,27853.0,59.5,1.0
HMGA2,T2DM_Control,GWAS Literature,No,0.0,0.0,0,77475.0,36.8,
HNF1A,T2DM_Control,GWAS Literature,No,0.0,0.0,0,31786.0,54.4,
HNF1B,T2DM_Control,GWAS Literature,No,0.0,0.0,0,59144.0,38.3,
JAZF1,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,290504.0,41.4,2.0
KCNJ11,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,9625.0,46.2,1.5
KLF14,T2DM_Control,GWAS Literature,No,0.0,0.0,0,8200.0,65.0,1.0
MNX1,T2DM_Control,GWAS Literature,No,0.0,0.0,0,7716.0,48.2,
PAM,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,462588.0,36.6,1.0
PDX1,T2DM_Control,GWAS Literature,No,0.0,0.0,0,8856.0,61.8,
PPARG,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,494639.0,38.7,1.0
PROX1,T2DM_Control,GWAS Literature,No,0.0,0.0,0,49409.0,36.5,1.0
RREB1,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,177238.0,44.0,1.0
SLC16A11,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,14520.0,36.5,1.0
SLC30A8,T2DM_Control,GWAS Literature,No,0.0,0.0,0,110156.0,40.2,
ST6GAL1,T2DM_Control,GWAS Literature,Yes,0.0,0.0,0,93218.0,37.7,1.5
TCF7L2,T2DM_Control,GWAS Literature,No,0.0,0.0,0,224243.0,36.0,
TSPAN8,T2DM_Control,GWAS Literature,No,0.0,0.0,0,92696.0,42.0,
